Bus No,Date,Time,Week Day,Bus Type,Driver Rating Based On Time,Driver Rating Based On Decepline,Bus Rating,Driver Age,Weather,Longtide,Latitude
NA-7111,2020-01-09,16:21:05,Thursday,Normal,4,4.5,4.5,32,32,8.35483,80.44634
NA-7111,2020-01-09,16:21:06,Thursday,Normal,4,4.5,4.5,32,32,8.35484,80.44645
NA-7111,2020-01-09,16:21:07,Thursday,Normal,4,4.5,4.5,32,32,8.35484,80.44657
NA-7111,2020-01-09,16:21:08,Thursday,Normal,4,4.5,4.5,32,32,8.35485,80.44668
NA-7111,2020-01-09,16:21:09,Thursday,Normal,4,4.5,4.5,32,32,8.35485,80.44679
NA-7111,2020-01-09,16:21:10,Thursday,Normal,4,4.5,4.5,32,32,8.35485,80.4469
NA-7111,2020-01-09,16:21:11,Thursday,Normal,4,4.5,4.5,32,32,8.35485,80.44703
NA-7111,2020-01-09,16:21:12,Thursday,Normal,4,4.5,4.5,32,32,8.35485,80.44715
NA-7111,2020-01-09,16:21:13,Thursday,Normal,4,4.5,4.5,32,32,8.35485,80.44726
NA-7111,2020-01-09,16:21:14,Thursday,Normal,4,4.5,4.5,32,32,8.35485,80.44739
NA-7111,2020-01-09,16:21:15,Thursday,Normal,4,4.5,4.5,32,32,8.35486,80.44752
NA-7111,2020-01-09,16:21:16,Thursday,Normal,4,4.5,4.5,32,32,8.35487,80.44764
NA-7111,2020-01-09,16:21:17,Thursday,Normal,4,4.5,4.5,32,32,8.35488,80.44776
NA-7111,2020-01-09,16:21:18,Thursday,Normal,4,4.5,4.5,32,32,8.3549,80.44787
NA-7111,2020-01-09,16:21:19,Thursday,Normal,4,4.5,4.5,32,32,8.35491,80.44798
NA-7111,2020-01-09,16:21:20,Thursday,Normal,4,4.5,4.5,32,32,8.35492,80.44806
NA-7111,2020-01-09,16:21:21,Thursday,Normal,4,4.5,4.5,32,32,8.35492,80.44814
NA-7111,2020-01-09,16:21:22,Thursday,Normal,4,4.5,4.5,32,32,8.35494,80.44821
NA-7111,2020-01-09,16:21:23,Thursday,Normal,4,4.5,4.5,32,32,8.35496,80.44828
NA-7111,2020-01-09,16:21:24,Thursday,Normal,4,4.5,4.5,32,32,8.35499,80.44833
NA-7111,2020-01-09,16:21:25,Thursday,Normal,4,4.5,4.5,32,32,8.35501,80.44833
NA-7111,2020-01-09,16:21:26,Thursday,Normal,4,4.5,4.5,32,32,8.35502,80.44831
NA-7111,2020-01-09,16:21:27,Thursday,Normal,4,4.5,4.5,32,32,8.35503,80.44829
NA-7111,2020-01-09,16:21:28,Thursday,Normal,4,4.5,4.5,32,32,8.35502,80.44826
NA-7111,2020-01-09,16:21:31,Thursday,Normal,4,4.5,4.5,32,32,8.355,80.44825
NA-7111,2020-01-09,16:21:34,Thursday,Normal,4,4.5,4.5,32,32,8.355,80.44826
NA-7111,2020-01-09,16:21:35,Thursday,Normal,4,4.5,4.5,32,32,8.35499,80.44827
NA-7111,2020-01-09,16:21:36,Thursday,Normal,4,4.5,4.5,32,32,8.35498,80.44828
NA-7111,2020-01-09,16:21:37,Thursday,Normal,4,4.5,4.5,32,32,8.35496,80.44829
NA-7111,2020-01-09,16:21:38,Thursday,Normal,4,4.5,4.5,32,32,8.35495,80.44831
NA-7111,2020-01-09,16:21:39,Thursday,Normal,4,4.5,4.5,32,32,8.35494,80.44834
NA-7111,2020-01-09,16:21:40,Thursday,Normal,4,4.5,4.5,32,32,8.35493,80.44838
NA-7111,2020-01-09,16:21:41,Thursday,Normal,4,4.5,4.5,32,32,8.35493,80.44842
NA-7111,2020-01-09,16:21:42,Thursday,Normal,4,4.5,4.5,32,32,8.35492,80.44848
NA-7111,2020-01-09,16:21:43,Thursday,Normal,4,4.5,4.5,32,32,8.35492,80.44855
NA-7111,2020-01-09,16:21:44,Thursday,Normal,4,4.5,4.5,32,32,8.35492,80.44862
NA-7111,2020-01-09,16:21:45,Thursday,Normal,4,4.5,4.5,32,32,8.35492,80.4487
